2018-07-09 16:02:41,898 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - I/O exception (java.net.SocketException) caught when processing request to {s}->https://rt.services.visualstudio.com:443: Socket operation on nonsocket: connect
2018-07-09 16:02:41,902 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - Retrying request to {s}->https://rt.services.visualstudio.com:443
2018-07-09 16:05:58,698 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - I/O exception (java.net.SocketException) caught when processing request to {s}->https://rt.services.visualstudio.com:443: Socket operation on nonsocket: connect
2018-07-09 16:05:58,700 [DefaultQuickPulseCoordinator] INFO  RetryExec -  - Retrying request to {s}->https://rt.services.visualstudio.com:443
ns from ServletContext resource [/WEB-INF/spring-REST-servlet.xml]
2018-07-09 16:02:04,239 - INFO  - [XmlBeanDefinitionReader:317] - Loading XML bean definitions from ServletContext resource [/WEB-INF/spring-REST-servlet.xml]
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/call/{callId}/lau/{lauId}],methods=[GET],produces=[application/json]}" onto public java.util.List<wifi4eu.wifi4eu.common.dto.model.ApplicationDTO> wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationsByCallIdAndLauId(java.lang.Integer,java.lang.Integer,java.lang.Long,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/call/{callId}/lau/{lauId}],methods=[GET],produces=[application/json]}" onto public java.util.List<wifi4eu.wifi4eu.common.dto.model.ApplicationDTO> wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationsByCallIdAndLauId(java.lang.Integer,java.lang.Integer,java.lang.Long,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/exportExcelDGConnApplicantsList],methods=[POST],produces=[application/vnd.ms-excel]}" onto public org.springframework.http.ResponseEntity<byte[]> wifi4eu.wifi4eu.web.rest.ApplicationResource.exportExcelDGConnApplicantsList(java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/exportExcelDGConnApplicantsList],methods=[POST],produces=[application/vnd.ms-excel]}" onto public org.springframework.http.ResponseEntity<byte[]> wifi4eu.wifi4eu.web.rest.ApplicationResource.exportExcelDGConnApplicantsList(java.lang.Integer,java.lang.String,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/sendCorrectionEmails],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.sendCorrectionEmails(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/sendCorrectionEmails],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.sendCorrectionEmails(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/findDgconnApplicantsListByCallId/{callId}],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.findDgconnApplicantsListByCallId(java.lang.Integer,java.lang.String,wifi4eu.wifi4eu.common.dto.model.PagingSortingDTO,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/findDgconnApplicantsListByCallId/{callId}],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.findDgconnApplicantsListByCallId(java.lang.Integer,java.lang.String,wifi4eu.wifi4eu.common.dto.model.PagingSortingDTO,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/getApplicantListItem],methods=[GET]}" onto public wifi4eu.wifi4eu.common.dto.model.ApplicantListItemDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicantListItem()
2018-07-09 16:02:05,173 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/getApplicantListItem],methods=[GET]}" onto public wifi4eu.wifi4eu.common.dto.model.ApplicantListItemDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicantListItem()
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/getLastCorrectionRequestEmail],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.model.CorrectionRequestEmailDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getLastCorrectionRequestEmail(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/getLastCorrectionRequestEmail],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.model.CorrectionRequestEmailDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getLastCorrectionRequestEmail(java.lang.Integer,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/getPagingSortingDTO],methods=[GET]}" onto public wifi4eu.wifi4eu.common.dto.model.PagingSortingDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getPagingSortingDTO()
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/getPagingSortingDTO],methods=[GET]}" onto public wifi4eu.wifi4eu.common.dto.model.PagingSortingDTO wifi4eu.wifi4eu.web.rest.ApplicationResource.getPagingSortingDTO()
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/valid/call/{callId}],methods=[GET],produces=[application/json]}" onto public java.lang.Integer wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationsNotInvalidated(java.lang.Integer)
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/application/valid/call/{callId}],methods=[GET],produces=[application/json]}" onto public java.lang.Integer wifi4eu.wifi4eu.web.rest.ApplicationResource.getApplicationsNotInvalidated(java.lang.Integer)
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/edit],methods=[PUT],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.BeneficiaryDisplayedListResource.editBeneficiaryDisplayedListDTO(wifi4eu.wifi4eu.common.dto.model.BeneficiaryDisplayedListDTO)
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/edit],methods=[PUT],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.BeneficiaryDisplayedListResource.editBeneficiaryDisplayedListDTO(wifi4eu.wifi4eu.common.dto.model.BeneficiaryDisplayedListDTO)
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/beneficiaries-list],methods=[GET],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.BeneficiaryDisplayedListResource.getBeneficiariesList()
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/beneficiaries-list],methods=[GET],produces=[application/json]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.BeneficiaryDisplayedListResource.getBeneficiariesList()
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/exportExcelDGConnBeneficiariesList],methods=[POST],produces=[application/vnd.ms-excel]}" onto public org.springframework.http.ResponseEntity<byte[]> wifi4eu.wifi4eu.web.rest.BeneficiaryResource.exportExcelDGConnBeneficiariesList(javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/exportExcelDGConnBeneficiariesList],methods=[POST],produces=[application/vnd.ms-excel]}" onto public org.springframework.http.ResponseEntity<byte[]> wifi4eu.wifi4eu.web.rest.BeneficiaryResource.exportExcelDGConnBeneficiariesList(javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/exportCSVDGConnBeneficiariesListSearchingName],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.BeneficiaryResource.exportCSVDGConnBeneficiariesListSearchingName(java.lang.String,javax.servlet.http.HttpServletResponse) throws java.io.IOException
2018-07-09 16:02:05,189 - INFO  - [RequestMappingHandlerMapping:543] - Mapped "{[/beneficiary/exportCSVDGConnBeneficiariesListSearchingName],methods=[POST]}" onto public wifi4eu.wifi4eu.common.dto.rest.ResponseDTO wifi4eu.wifi4eu.web.rest.BeneficiaryResource.exportCSVDGConnBeneficiariesListSearchingName(java.lang.String,javax.servlet.http.HttpServletResponse) throws java.io.IOException
